,case_order,cust_id,interaction_id,city,state,county,zip,latitude,longitude,population,area,timezone,job,children,age,education,employment,income,marital,gender,churn,outage_sec_wk,email_contact_yr,support_reqs_total,equip_failure_yr,cust_is_techie,contract_term,portable_modem,tablet,internet_service,phone_service,multi_ph_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_bill,pay_method,tenure,monthly_charge,bandwidth_gb_yr,surv_timely_resp,surv_timely_fix,surv_timely_replace,surv_reliability,surv_options,surv_respectful,surv_courteous,surv_active_listening,zscore_income,zscore_support_reqs,zscore_equip_fail
513,514,S785720,9d8175d3-0f49-420e-abdf-3529c326a56c,Ponce,PR,Ponce,731,18.09775,-66.63355,12722,Suburban,America/Puerto_Rico,"Teacher, adult education",0.0,26.0,"Some College, 1 or More Years, No Degree",Part Time,159316.0,Divorced,Female,Yes,9.956447326,13,0,1,Yes,Month-to-month,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Electronic Check,10.0,232.4943908,2140.0,4,5,3,4,3,5,4,4,4.680907893067927,,
656,657,F83510,42ed9a7a-5e48-4473-8de5-25a85fa89eb9,Balm,FL,Hillsborough,33503,27.76516,-82.27648,204,Rural,America/New_York,Armed forces operational officer,4.0,82.0,"Some College, Less than 1 Year",Full Time,172884.0,Separated,Male,No,7.276379259,10,1,1,No,Two Year,No,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Credit Card (automatic),2.0,183.615716,1075.0,2,2,2,4,1,4,4,2,5.21287295493457,,
688,689,G755151,a474b662-a096-453e-8d78-fe09a52560c0,Mount Solon,VA,Augusta,22843,38.36852,-79.16036,2476,Rural,America/New_York,Retail manager,2.0,56.0,Regular High School Diploma,Full Time,168097.0,Widowed,Female,No,10.45345249,12,0,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Mailed Check,8.0,192.2308161,985.0,3,3,4,3,2,4,3,1,5.02518746325152,,
954,955,N762754,3ca1047c-b359-42c0-8bb3-6b9b75e622ae,Groveton,TX,Trinity,75845,31.10075,-95.08953,3137,Suburban,America/Chicago,Investment analyst,10.0,56.0,"Some College, 1 or More Years, No Degree",Student,132140.0,Married,Male,Yes,9.974952065,16,2,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Electronic Check,17.0,256.0656776,2389.0,3,3,3,3,3,5,4,3,3.6154094761098,,
957,958,I916859,331b0d9e-cdb1-4992-a8a1-59a0cff53cd4,Rowland,NC,Robeson,28383,34.5755,-79.26576,8854,Suburban,America/New_York,Professor Emeritus,0.0,60.0,"Some College, 1 or More Years, No Degree",Part Time,131500.0,Never Married,Male,Yes,11.80754139,16,1,1,No,Two Year,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,No,Yes,Yes,No,Electronic Check,17.0,219.5300045,1944.0,5,3,4,5,2,5,5,2,3.590316784512317,,
972,973,P726191,3222e653-c7e0-4239-8ca0-97bdd0945701,Camp Lejeune,NC,Onslow,28547,34.67125,-77.37368,25420,Suburban,America/New_York,Event organiser,8.0,68.0,Bachelor's Degree,Full Time,186035.0,Married,Male,Yes,6.168661925,12,2,0,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Bank Transfer(automatic),2.0,233.8910909,1549.0,3,4,5,5,2,4,3,5,5.728488559932226,,
1000,1001,D59575,387a8b3a-36b0-4939-acc3-b8d82f6f4828,Euclid,OH,Cuyahoga,44123,41.60379,-81.52419,16515,Rural,America/New_York,Community development worker,2.0,67.0,"Some College, Less than 1 Year",Retired,154719.0,Widowed,Female,Yes,10.1618691,6,0,0,No,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Bank Transfer(automatic),17.0,243.0378369,1919.0,5,4,4,3,3,4,2,4,4.50067179420288,,
1020,1021,I961815,1b6bb8ea-6006-4607-96c4-537d88b54af6,Brodnax,VA,Brunswick,23920,36.72431,-77.97676,3096,Suburban,America/New_York,Veterinary surgeon,0.0,84.0,Regular High School Diploma,Full Time,126236.0,Widowed,Male,No,11.40583358,13,0,2,No,Month-to-month,No,No,Fiber Optic,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Credit Card (automatic),6.0,207.9759621,1604.0,5,4,3,4,3,5,4,3,3.383929396123018,,
1096,1097,E555705,f37fccb9-9862-48bd-824e-f915f4bdbc16,San Ramon,CA,Contra Costa,94583,37.75515,-121.97273,35102,Suburban,America/Los_Angeles,Air broker,7.0,50.0,Associate's Degree,Part Time,162360.0,Never Married,Female,No,12.53895287,10,0,0,No,One year,No,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,No,No,Yes,Mailed Check,17.0,159.0346619,1761.0,2,1,2,3,3,3,3,3,4.800255007478456,,
1115,1116,W698821,010841a2-d700-4fc5-92fa-5a5c1e264a9c,Texhoma,OK,Texas,73949,36.57949,-101.92065,1523,Suburban,America/Chicago,Risk manager,3.0,33.0,Master's Degree,Full Time,132335.0,Separated,Male,No,13.3492891,9,0,0,No,One year,No,Yes,Fiber Optic,No,Yes,No,No,No,No,Yes,Yes,Yes,Mailed Check,18.0,240.3377651,2136.0,4,3,3,3,4,2,5,3,3.6230549055809083,,
1297,1298,E505861,55c15886-fb37-4664-8da5-12e714d79601,Exeter,ME,Penobscot,4435,44.96435,-69.13539,1069,Urban,America/New_York,Forensic scientist,3.0,74.0,Regular High School Diploma,Unemployed,135171.0,Divorced,Female,No,5.33309079,10,0,0,No,One year,Yes,No,Fiber Optic,Yes,Yes,No,No,No,No,No,No,No,Electronic Check,7.0,145.5043103,677.0,4,3,4,2,5,4,2,4,3.734246895222255,,
1301,1302,A663417,a76302da-9afd-413f-bfa9-d79ac457031f,Brownsboro,TX,Henderson,75756,32.30402,-95.60002,4611,Suburban,America/Chicago,"Programmer, multimedia",0.0,26.0,Regular High School Diploma,Full Time,121993.0,Divorced,Female,No,14.63278501,10,2,0,No,Month-to-month,No,No,None,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Electronic Check,17.0,141.3408863,1157.0,5,5,5,6,3,6,4,5,3.2175726922978294,,
1491,1492,D47888,5d4ad04a-ec9c-4185-82ec-ac3c3dfe2bd2,Pottersdale,PA,Clearfield,16871,41.18599,-78.02609,40,Rural,America/New_York,Mudlogger,2.0,51.0,Master's Degree,Part Time,149503.0,Separated,Male,Yes,13.36770487,14,0,0,No,Month-to-month,Yes,No,DSL,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Electronic Check,8.0,163.9743416,1203.0,3,2,3,4,3,3,4,3,4.296166357683393,,
1529,1530,Y224996,48dc1f50-319d-4675-bd35-b0d114698074,Bradley,AR,Lafayette,71826,33.09207,-93.72343,1227,Suburban,America/Chicago,"Surveyor, hydrographic",0.0,61.0,Bachelor's Degree,Full Time,121849.0,Never Married,Male,No,8.904688013,17,0,0,No,One year,Yes,No,Fiber Optic,Yes,Yes,No,No,No,No,Yes,Yes,No,Mailed Check,17.0,239.8351062,1931.0,3,2,3,5,3,3,3,1,3.2119268366883955,,
1626,1627,Z671295,916e3be4-37f2-4529-bf91-df06afa8e4ca,Hurt,VA,Pittsylvania,24563,37.06392,-79.27635,5527,Rural,America/New_York,"Surveyor, hydrographic",4.0,24.0,Regular High School Diploma,Full Time,118120.0,Separated,Male,No,12.51887623,14,0,0,Yes,Two Year,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Credit Card (automatic),12.0,197.3726296,2054.0,5,4,5,1,3,5,4,4,3.0657227008024353,,
1634,1635,J429182,711da232-8f2d-4635-a8b1-d4e1f6aa53e3,Barksdale Afb,LA,Bossier,71110,32.50008,-93.59976,4884,Suburban,America/Chicago,"Surveyor, minerals",0.0,45.0,Bachelor's Degree,Student,116573.0,Never Married,Male,No,9.735227765,13,0,3,No,Two Year,No,No,Fiber Optic,Yes,No,No,No,No,Yes,Yes,No,Yes,Mailed Check,12.0,150.7574119,1147.0,4,4,3,4,3,2,3,3,3.005068960331644,,
1650,1651,X376072,f584097d-0c82-4552-9bd0-75419337fd39,Wharton,NJ,Morris,7885,40.93517,-74.57845,10052,Urban,America/New_York,Records manager,3.0,37.0,Regular High School Diploma,Part Time,117333.0,Separated,Female,Yes,12.53591783,13,1,0,Yes,Month-to-month,No,No,Fiber Optic,Yes,Yes,No,No,Yes,Yes,No,No,No,Electronic Check,7.0,170.507875,785.0,4,3,4,4,3,3,3,4,3.0348665316036554,,
1725,1726,Q154739,bf5b9381-22fa-44d6-8b31-ecb1ce0f479d,White Oak,TX,Gregg,75693,32.53385,-94.85985,7122,Urban,America/Chicago,Further education lecturer,0.0,47.0,"Some College, 1 or More Years, No Degree",Unemployed,165151.0,Separated,Male,No,37.90117452,10,1,0,Yes,One year,No,No,DSL,Yes,No,No,No,No,No,No,Yes,Yes,Bank Transfer(automatic),6.0,154.1677516,1174.0,6,5,6,5,3,5,5,4,4.909682667241856,,
1908,1909,H948553,aadd30e8-bea6-4e6f-a24d-b1ee552e8478,Asbury,NJ,Hunterdon,8802,40.67647,-75.02428,4035,Urban,America/New_York,Cabin crew,1.0,25.0,Regular High School Diploma,Student,152173.0,Widowed,Female,Yes,8.903260463,15,3,0,No,One year,No,No,None,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Bank Transfer(automatic),3.0,211.0494288,1023.0,4,4,4,3,2,4,4,4,4.400849930441643,,
1919,1920,C357653,c24abc75-cafe-4602-8009-d754ce6146f7,Tebbetts,MO,Callaway,65080,38.63072,-91.97907,1167,Rural,America/Chicago,"Geologist, wellsite",2.0,76.0,Regular High School Diploma,Full Time,116889.0,Divorced,Male,Yes,12.6714622,13,1,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,No,Yes,No,No,Yes,No,Credit Card (automatic),12.0,174.0798932,1851.0,4,5,4,3,3,4,6,6,3.017458476807901,,
1937,1938,V966228,67c4d278-4863-44b4-81f2-b77937f3c2ac,Houston,TX,Harris,77030,29.70629,-95.4026,10963,Suburban,America/Chicago,"Administrator, education",1.0,24.0,Regular High School Diploma,Part Time,137589.0,Widowed,Male,No,10.80421535,10,2,0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,Yes,Yes,Yes,No,No,No,Electronic Check,11.0,159.4943217,1282.0,3,3,3,4,2,4,5,4,3.829050220663996,,
2073,2074,A564348,bf0494c1-a37f-49d9-8c55-eb4d64b64503,Mc Elhattan,PA,Clinton,17748,41.15043,-77.35297,213,Rural,America/New_York,Radiation protection practitioner,0.0,49.0,Professional School Degree,Full Time,127881.0,Never Married,Female,No,15.914823,12,3,0,No,Two Year,Yes,No,Fiber Optic,Yes,No,Yes,No,No,No,No,Yes,No,Electronic Check,10.0,150.7331524,967.0,3,4,3,1,4,4,4,4,3.448425454994674,,
2079,2080,U670681,2f907405-32d6-4e1a-bb5e-aef074144f6e,Capitol Heights,MD,Prince George's,20743,38.8839,-76.89333,39234,Urban,America/New_York,Nutritional therapist,1.0,68.0,Associate's Degree,Full Time,116572.0,Divorced,Male,Yes,9.290246516,13,1,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,Yes,Yes,No,Electronic Check,10.0,219.8738908,1967.0,3,4,2,3,3,4,2,4,3.005029753001023,,
2123,2124,Q38182,d7564b05-4911-4f3c-b856-08fc826880fb,Los Angeles,CA,Los Angeles,90015,34.03939,-118.26645,21801,Suburban,America/Los_Angeles,Museum/gallery conservator,2.0,58.0,Bachelor's Degree,Student,146782.0,Never Married,Male,No,12.69810477,12,2,0,No,Two Year,Yes,No,DSL,Yes,No,No,No,No,No,No,No,No,Mailed Check,2.0,93.7637016,576.0,2,3,2,3,3,3,4,3,4.189483211063468,,
2352,2353,B738673,92f11d6f-3bed-487d-890b-70219f785d29,Guernsey,WY,Platte,82214,42.26072,-104.75951,1338,Urban,America/Denver,"Accountant, chartered management",10.0,64.0,Nursery School to 8th Grade,Full Time,143973.0,Married,Male,Yes,10.9495594,13,1,0,No,Month-to-month,No,Yes,Fiber Optic,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Mailed Check,16.0,263.2889909,2212.0,2,3,3,4,4,3,4,2,4.079349819348891,,
2355,2356,D366434,d33fe4be-6597-4222-aebe-cb2612980f09,Keyes,CA,Stanislaus,95328,37.55826,-120.90987,4518,Urban,America/Los_Angeles,"Engineer, manufacturing",1.0,86.0,Bachelor's Degree,Full Time,143218.0,Widowed,Male,No,11.39778489,13,2,0,No,One year,No,Yes,DSL,Yes,No,No,No,Yes,No,No,Yes,No,Credit Card (automatic),17.0,140.1177331,2152.0,4,4,4,2,4,3,2,4,4.049748284729985,,
2360,2361,K255983,0a407e01-2fee-4347-8b67-b0c0c00eeabc,Springlake,TX,Lamb,79082,34.22431,-102.28774,239,Rural,America/Chicago,"Pharmacist, community",3.0,48.0,"Some College, 1 or More Years, No Degree",Full Time,134691.0,Separated,Female,No,11.96299766,11,0,0,No,Month-to-month,Yes,No,Fiber Optic,No,No,No,Yes,No,No,No,Yes,No,Electronic Check,20.0,171.0945549,1982.0,3,3,4,4,5,4,4,4,3.715427376524143,,
2632,2633,E706607,7df0d23c-4290-4e60-abfd-15de9d2034d1,Cissna Park,IL,Iroquois,60924,40.55778,-87.88532,1485,Urban,America/Chicago,Administrator,2.0,59.0,"Some College, 1 or More Years, No Degree",Full Time,128114.0,Widowed,Female,Yes,11.31716612,10,0,0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Mailed Check,12.0,219.3209337,1483.0,2,4,4,4,4,5,2,2,3.4575607630293828,,
2658,2659,G499792,48445ffc-14f9-4bb6-be86-8d5dcc721954,Bloomingdale,NJ,Passaic,7403,41.02127,-74.33188,7999,Suburban,America/New_York,Dealer,3.0,25.0,Nursery School to 8th Grade,Full Time,138556.0,Divorced,Male,Yes,12.13295482,12,3,0,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Bank Transfer(automatic),12.0,141.3023846,2058.0,4,2,3,1,6,3,3,6,3.866963709374568,,
2762,2763,G991685,2dcf2d3e-34b0-430c-9b96-f410ff735f04,Woodbine,GA,Camden,31569,30.90736,-81.70486,5831,Rural,America/New_York,Production engineer,1.0,33.0,Associate's Degree,Full Time,175137.0,Never Married,Male,Yes,11.39732476,14,1,1,No,Month-to-month,No,No,None,Yes,Yes,No,No,No,No,Yes,Yes,No,Electronic Check,18.0,207.0173498,2150.0,4,3,3,4,1,3,3,3,5.301207070823834,,
2796,2797,W979591,9f799c7e-ea6b-43a5-9591-97ab2afa02dc,Benezett,PA,Elk,15821,41.35536,-78.36768,131,Urban,America/New_York,"Engineer, communications",3.0,82.0,Bachelor's Degree,Full Time,131512.0,Widowed,Male,Yes,9.188761949,7,0,1,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Electronic Check,13.0,172.2192869,1838.0,3,3,3,4,3,3,5,3,3.5907872724797696,,
2832,2833,M78179,cc20abeb-7385-4dbe-bfea-cbb68fced9dd,West Branch,IA,Cedar,52358,41.69605,-91.31919,3525,Rural,America/Chicago,Ship broker,4.0,49.0,GED or Alternative Credential,Full Time,146952.0,Widowed,Female,No,7.652321521,13,1,0,No,Month-to-month,No,Yes,Fiber Optic,Yes,No,No,Yes,No,Yes,Yes,No,No,Credit Card (automatic),14.0,172.2649883,1665.0,4,4,3,3,4,3,3,3,4.19614845726905,,
2851,2852,C885204,54e268cc-a832-4a75-829e-300e0d320019,Minneapolis,MN,Hennepin,55443,45.11958,-93.33713,31758,Urban,America/Chicago,Quarry manager,3.0,57.0,"Some College, 1 or More Years, No Degree",Student,145163.0,Divorced,Female,No,8.052853545,5,1,1,No,Two Year,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Mailed Check,11.0,159.9877574,1604.0,3,3,2,2,4,4,4,4,4.126006542787961,,
2861,2862,G490319,eab38035-8ae4-44fa-93af-32eaede788cc,Marietta,TX,Cass,75566,33.14819,-94.49175,730,Suburban,America/Chicago,"Engineer, water",3.0,44.0,Master's Degree,Part Time,116453.0,Never Married,Female,Yes,10.71823216,12,0,1,Yes,Month-to-month,Yes,No,DSL,Yes,No,Yes,No,No,No,No,Yes,No,Electronic Check,10.0,130.2237194,1607.0,5,5,5,4,2,6,4,5,3.000364080657116,,
2912,2913,A282518,5fa0612f-5459-4ada-ba6f-5357481a159f,Manzanola,CO,Otero,81058,38.0988,-103.87966,1051,Suburban,America/Denver,Trading standards officer,3.0,89.0,Master's Degree,Full Time,122916.0,Divorced,Female,Yes,8.524539959,13,0,0,Yes,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Bank Transfer(automatic),10.0,230.1574463,1309.0,3,3,2,5,4,4,6,3,3.2537610584610746,,
2977,2978,T325632,06b43c66-f28b-4978-86d4-fa712e3fbe14,Hodgenville,KY,Larue,42748,37.571,-85.70853,8882,Rural,America/New_York,"Psychologist, educational",1.0,57.0,Professional School Degree,Student,119667.0,Never Married,Female,No,9.98965734,6,1,0,No,One year,Yes,Yes,Fiber Optic,Yes,No,No,No,Yes,Yes,No,Yes,No,Electronic Check,11.0,173.2987937,1169.0,4,3,3,3,5,3,4,4,3.1263764412732264,,
2990,2991,B562858,7cff9745-ef54-439e-a144-3d668d26cd51,Manawa,WI,Waupaca,54949,44.4836,-88.91262,3370,Suburban,America/Chicago,Maintenance engineer,4.0,67.0,Regular High School Diploma,Unemployed,123892.0,Never Married,Male,No,9.8047121,8,1,1,No,Month-to-month,No,No,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Credit Card (automatic),9.0,173.0386284,1319.0,3,3,4,5,4,3,1,5,3.292027413147236,,
2993,2994,Y244230,04f73536-e263-4746-ad80-498582ba5dfa,Imlay City,MI,Lapeer,48444,43.065,-83.05509,9869,Rural,America/Detroit,Arts administrator,1.0,26.0,Regular High School Diploma,Full Time,117624.0,Widowed,Female,Yes,11.98083639,11,1,0,Yes,Month-to-month,No,No,DSL,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Credit Card (automatic),13.0,161.9359871,1927.0,1,1,2,3,3,1,1,2,3.046275864814386,,
3001,3002,Z02519,3f91528b-ff53-4b01-99bf-05015081bf4e,Ormond Beach,FL,Volusia,32174,29.28542,-81.16355,50869,Rural,America/New_York,Chief Executive Officer,2.0,27.0,"Some College, 1 or More Years, No Degree",Full Time,145570.0,Separated,Male,Yes,12.55818,6,2,0,Yes,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,No,No,Yes,Yes,Electronic Check,2.0,174.6733,755.0,4,5,4,5,3,4,4,5,4.141963926350734,,
3120,3121,E691911,a17b469b-cbaf-43c0-9222-8c36bdc66f1e,Aberdeen,MD,Harford,21001,39.51075,-76.20061,24453,Suburban,America/New_York,Consulting civil engineer,2.0,40.0,Master's Degree,Full Time,160589.0,Married,Female,Yes,4.528849,14,1,1,No,Month-to-month,No,No,DSL,Yes,No,Yes,No,No,No,No,Yes,Yes,Credit Card (automatic),7.0,128.5256,1301.0,3,3,3,3,5,2,2,2,4.730818824948546,,
3130,3131,S942225,851b7829-4d62-4a5e-8f31-98af43756637,Wilmette,IL,Cook,60091,42.07702,-87.72809,27367,Urban,America/Chicago,Public relations account executive,3.0,50.0,Nursery School to 8th Grade,Part Time,120286.0,Divorced,Male,No,8.370417,16,1,1,No,One year,No,No,DSL,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Bank Transfer(automatic),2.0,184.2498,1111.0,2,2,3,4,4,4,4,1,3.150645778927667,,
3397,3398,K563405,b3cf3eea-cf93-404b-a0da-1a3890915253,Damascus,GA,Miller,39841,31.28183,-84.68109,705,Urban,America/New_York,Chiropractor,2.0,22.0,Master's Degree,Full Time,159114.0,Never Married,Male,Yes,10.8612,9,1,0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Electronic Check,8.0,207.0171,1262.0,2,3,3,4,3,2,2,3,4.672988012282471,,
3466,3467,G539846,e6b0bac0-4185-4646-8d35-75f531954e27,Glenwood Springs,CO,Garfield,81601,39.58391,-107.3136,15666,Suburban,America/Denver,"Surveyor, commercial/residential",1.0,54.0,GED or Alternative Credential,Full Time,121056.0,Divorced,Male,Yes,35.43257,12,3,0,No,Two Year,No,No,Fiber Optic,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Electronic Check,7.0,290.7964,1261.0,4,3,3,3,4,4,5,4,3.180835423505889,,
3516,3517,G890475,ff567c63-5d21-4cb1-9d16-c4e8bc0d0bf8,Haiku,HI,Maui,96708,20.85231,-156.2229,10243,Urban,Pacific/Honolulu,Psychiatric nurse,3.0,58.0,Regular High School Diploma,Full Time,142086.0,Divorced,Male,No,10.67969,9,1,0,No,One year,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,No,Yes,No,No,No,Electronic Check,6.0,180.1724,2197.0,4,4,3,2,5,4,3,3,4.005365586466936,,
3555,3556,W301538,63ea68e5-7a09-4d36-a2d0-8c844d28d584,Ermine,KY,Letcher,41815,37.16152,-82.7974,1045,Urban,America/New_York,IT technical support officer,1.0,57.0,Associate's Degree,Full Time,125660.0,Widowed,Male,Yes,2.900698,11,1,0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Credit Card (automatic),16.0,220.8106,1425.0,5,4,4,3,6,4,3,3,3.361345973685283,,
3601,3602,V465323,6913ce91-14fd-43f4-ace3-a02a71c29ef7,Millbrook,AL,Elmore,36054,32.48358,-86.36669,16080,Suburban,America/Chicago,"Lecturer, higher education",2.0,51.0,"9th Grade to 12th Grade, No Diploma",Full Time,125770.0,Widowed,Male,Yes,4.85334,7,0,3,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Electronic Check,7.0,172.3896,1283.0,1,2,1,5,1,3,4,2,3.3656587800536006,,
